Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;1175
Akismet Anti-spam: Spam Protection;https://ru.wordpress.org/plugins/akismet/;1018
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;2082
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;247
